players,mean turns,median,s
1,41.48,42.0,9.96
2,36.11,37.0,8.88
3,32.85,33.0,7.84
4,31.26,32.0,7.67
5,29.25,29.0,7.18
6,28.31,28.0,6.92
7,27.72,28.0,6.51
8,26.84,27.0,6.47
9,26.09,26.0,6.23
10,25.58,26.0,6.13
11,25.0,25.0,6.0
12,24.84,25.0,5.7
13,24.26,24.0,5.89
14,23.95,24.0,5.64
15,23.58,24.0,5.53
16,23.18,23.0,5.62
17,23.33,24.0,5.39
18,22.38,23.0,5.29
19,22.17,22.0,5.24
20,22.0,22.0,5.2
21,21.72,22.0,5.16
22,21.85,22.0,5.18
23,21.48,22.0,4.97
24,21.52,22.0,5.04
25,21.09,21.0,5.02
26,21.04,21.0,5.13
27,20.91,21.0,4.92
28,20.36,20.0,4.77
29,20.5,21.0,4.78
30,20.5,21.0,4.78
31,20.26,20.0,4.84
32,20.3,21.0,4.87
33,20.07,20.0,4.83
34,20.05,20.0,4.54
35,20.05,20.0,4.82
36,19.49,20.0,4.58
37,19.67,20.0,4.7
38,19.39,20.0,4.54
39,19.51,20.0,4.69
40,19.21,19.0,4.4
41,19.11,19.0,4.5
42,19.16,19.0,4.41
43,18.89,19.0,4.73
44,18.77,19.0,4.12
45,18.7,19.0,4.47
46,18.88,19.0,4.5
47,18.78,19.0,4.35
48,18.44,19.0,4.29
49,18.51,19.0,4.4
50,18.47,19.0,4.53
51,18.34,18.0,4.26
52,18.44,19.0,4.17
53,18.15,18.0,4.13
54,18.02,18.0,4.31
55,18.28,19.0,4.25
56,18.11,18.0,4.02
57,17.81,18.0,4.02
58,18.01,18.0,4.27
59,18.22,18.0,4.17
60,17.82,18.0,4.07
61,17.63,18.0,4.3
62,17.66,18.0,4.17
63,17.74,18.0,3.95
64,17.57,18.0,4.12
65,17.69,18.0,4.09
66,17.5,18.0,4.14
67,17.43,17.0,4.11
68,17.42,18.0,3.95
69,17.25,17.0,4.21
70,17.26,17.0,4.07
71,17.48,18.0,4.04
72,17.2,17.0,4.2
73,16.94,17.0,3.99
74,17.16,17.0,3.94
75,17.07,17.0,3.99
76,16.93,17.0,3.94
77,17.1,17.0,3.85
78,16.79,17.0,4.02
79,16.92,17.0,3.98
80,16.91,17.0,3.97
81,16.86,17.0,3.88
82,16.71,17.0,4.04
83,16.79,17.0,3.95
84,16.55,16.0,3.94
85,16.8,17.0,3.83
86,16.68,17.0,3.82
87,16.66,17.0,3.74
88,16.68,17.0,3.83
89,16.42,17.0,3.89
90,16.35,16.0,3.78
91,16.43,17.0,3.73
92,16.36,17.0,3.81
93,16.38,16.5,3.96
94,16.16,16.0,3.83
95,16.21,16.0,3.76
96,16.2,16.0,3.83
97,16.26,16.0,3.78
98,16.17,16.0,3.86
99,16.2,16.0,3.74
100,16.11,16.0,3.82
